 S0066 , 3PARA RAT ,T1071,,T1071
 S0443 , MESSAGETAP ,T1074,,MESSAGETAP
 S0443 , MESSAGETAP ,T1074.001,[MESSAGETAP](https://attack.mitre.org/software/S0443) stored targeted SMS messages that matched its target list in CSV files on the compromised system.(Citation: FireEye MESSAGETAP October 2019),MESSAGETAP
 S0443 , MESSAGETAP ,T1140,"After checking for the existence of two files, keyword_parm.txt and parm.txt, [MESSAGETAP](https://attack.mitre.org/software/S0443) XOR decodes and read the contents of the files. (Citation: FireEye MESSAGETAP October 2019)",MESSAGETAP
 S0443 , MESSAGETAP ,T1083,[MESSAGETAP](https://attack.mitre.org/software/S0443) checks for the existence of two configuration files (keyword_parm.txt and parm.txt) and attempts to read the files every 30 seconds.(Citation: FireEye MESSAGETAP October 2019),MESSAGETAP
 S0443 , MESSAGETAP ,T1070,,MESSAGETAP
 S0443 , MESSAGETAP ,T1070.004,"Once loaded into memory, [MESSAGETAP](https://attack.mitre.org/software/S0443) deletes the keyword_parm.txt and parm.txt configuration files from disk. (Citation: FireEye MESSAGETAP October 2019)",MESSAGETAP
 S0443 , MESSAGETAP ,T1040,"[MESSAGETAP](https://attack.mitre.org/software/S0443) uses the libpcap library to listen to all traffic and parses network protocols starting with Ethernet and IP layers. It continues parsing protocol layers including SCTP, SCCP, and TCAP and finally extracts SMS message data and routing metadata.  (Citation: FireEye MESSAGETAP October 2019)",MESSAGETAP
 S0443 , MESSAGETAP ,T1049,"After loading the keyword and phone data files, [MESSAGETAP](https://attack.mitre.org/software/S0443) begins monitoring all network connections to and from the victim server. (Citation: FireEye MESSAGETAP October 2019)",MESSAGETAP
 S1059 , metaMain ,T1071,,metaMain
 S1059 , metaMain ,T1071.001,[metaMain](https://attack.mitre.org/software/S1059) can use HTTP for C2 communications.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1560,,metaMain
 S1059 , metaMain ,T1560.003,[metaMain](https://attack.mitre.org/software/S1059) has used XOR-based encryption for collected files before exfiltration.(Citation: SentinelLabs Metador Sept 2022),metaMain
 S1059 , metaMain ,T1005,[metaMain](https://attack.mitre.org/software/S1059) can collect files and system information from a compromised host.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1074,,metaMain
 S1059 , metaMain ,T1074.001,[metaMain](https://attack.mitre.org/software/S1059) has stored the collected system files in a working directory.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1140,[metaMain](https://attack.mitre.org/software/S1059) can decrypt and load other modules.(Citation: SentinelLabs Metador Sept 2022),metaMain
 S1059 , metaMain ,T1573,,metaMain
 S1059 , metaMain ,T1573.001,[metaMain](https://attack.mitre.org/software/S1059) can encrypt the data that it sends and receives from the C2 server using an RC4 encryption algorithm.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1546,,metaMain
 S1059 , metaMain ,T1546.003,"[metaMain](https://attack.mitre.org/software/S1059) registered a WMI event subscription consumer called ""hard_disk_stat"" to establish persistence.(Citation: SentinelLabs Metador Sept 2022)",metaMain
 S1059 , metaMain ,T1041,[metaMain](https://attack.mitre.org/software/S1059) can upload collected files and data to its C2 server.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1083,[metaMain](https://attack.mitre.org/software/S1059) can recursively enumerate files in an operator-provided directory.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1574,,metaMain
 S1059 , metaMain ,T1574.002,[metaMain](https://attack.mitre.org/software/S1059) can support an HKCMD sideloading start method.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1070,,metaMain
 S1059 , metaMain ,T1070.004,[metaMain](https://attack.mitre.org/software/S1059) has deleted collected items after uploading the content to its C2 server.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1070.006,"[metaMain](https://attack.mitre.org/software/S1059) can change the `CreationTime`, `LastAccessTime`, and `LastWriteTime` file time attributes when executed with `SYSTEM` privileges.(Citation: SentinelLabs Metador Technical Appendix Sept 2022)",metaMain
 S1059 , metaMain ,T1105,[metaMain](https://attack.mitre.org/software/S1059) can download files onto compromised systems.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1056,[metaMain](https://attack.mitre.org/software/S1059) can log mouse events.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1056.001,[metaMain](https://attack.mitre.org/software/S1059) has the ability to log keyboard events.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1112,[metaMain](https://attack.mitre.org/software/S1059) can write the process ID of a target process into the `HKEY_LOCAL_MACHINE\SOFTWARE\DDE\tpid` Registry value as part of its reflective loading activity.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1106,"[metaMain](https://attack.mitre.org/software/S1059) can execute an operator-provided Windows command by leveraging functions such as `WinExec`, `WriteFile`, and `ReadFile`.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022)",metaMain
 S1059 , metaMain ,T1095,[metaMain](https://attack.mitre.org/software/S1059) can establish an indirect and raw TCP socket-based connection to the C2 server.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1027,,metaMain
 S1059 , metaMain ,T1027.013,[metaMain](https://attack.mitre.org/software/S1059)'s module file has been encrypted via XOR.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1057,[metaMain](https://attack.mitre.org/software/S1059) can enumerate the processes that run on the platform.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1055,"[metaMain](https://attack.mitre.org/software/S1059) can inject the loader file, Speech02.db, into a process.(Citation: SentinelLabs Metador Sept 2022)",metaMain
 S1059 , metaMain ,T1090,,metaMain
 S1059 , metaMain ,T1090.001,[metaMain](https://attack.mitre.org/software/S1059) can create a named pipe to listen for and send data to a named pipe-based C2 server.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1620,"[metaMain](https://attack.mitre.org/software/S1059) has reflectively loaded a DLL to read, decrypt, and load an orchestrator file.(Citation: SentinelLabs Metador Sept 2022)",metaMain
 S1059 , metaMain ,T1113,[metaMain](https://attack.mitre.org/software/S1059) can take and save screenshots.(Citation: SentinelLabs Metador Sept 2022)(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1082,[metaMain](https://attack.mitre.org/software/S1059) can collect the computer name from a compromised host.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1033,[metaMain](https://attack.mitre.org/software/S1059) can collect the username from a compromised host.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S1059 , metaMain ,T1205,,metaMain
 S1059 , metaMain ,T1205.001,"[metaMain](https://attack.mitre.org/software/S1059) has authenticated itself to a different implant, Cryshell, through a port knocking and handshake procedure.(Citation: SentinelLabs Metador Sept 2022)",metaMain
 S1059 , metaMain ,T1497,,metaMain
 S1059 , metaMain ,T1497.003,[metaMain](https://attack.mitre.org/software/S1059) has delayed execution for five to six minutes during its persistence establishment process.(Citation: SentinelLabs Metador Technical Appendix Sept 2022),metaMain
 S0455 , Metamorfo ,T1071,,Metamorfo
 S0455 , Metamorfo ,T1071.001,[Metamorfo](https://attack.mitre.org/software/S0455) has used HTTP for C2.(Citation: Medium Metamorfo Apr 2020)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1010,[Metamorfo](https://attack.mitre.org/software/S0455) can enumerate all windows on the victim’s machine.(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020),Metamorfo
 S0455 , Metamorfo ,T1119,"[Metamorfo](https://attack.mitre.org/software/S0455) has automatically collected mouse clicks, continuous screenshots on the machine, and set timers to collect the contents of the clipboard and website browsing.(Citation: FireEye Metamorfo Apr 2018) ",Metamorfo
 S0455 , Metamorfo ,T1547,,Metamorfo
 S0455 , Metamorfo ,T1547.001,"[Metamorfo](https://attack.mitre.org/software/S0455) has configured persistence to the Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Run, Spotify =% APPDATA%\Spotify\Spotify.exe and used .LNK files in the startup folder to achieve persistence.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019)",Metamorfo
 S0455 , Metamorfo ,T1115,[Metamorfo](https://attack.mitre.org/software/S0455) has a function to hijack data from the clipboard by monitoring the contents of the clipboard and replacing the cryptocurrency wallet with the attacker's.(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019),Metamorfo
 S0455 , Metamorfo ,T1059,,Metamorfo
 S0455 , Metamorfo ,T1059.003,[Metamorfo](https://attack.mitre.org/software/S0455) has used cmd.exe /c to execute files.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1059.005,[Metamorfo](https://attack.mitre.org/software/S0455) has used VBS code on victims’ systems.(Citation: FireEye Metamorfo Apr 2018),Metamorfo
 S0455 , Metamorfo ,T1059.007,[Metamorfo](https://attack.mitre.org/software/S0455) includes payloads written in JavaScript.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1565,,Metamorfo
 S0455 , Metamorfo ,T1565.002,"[Metamorfo](https://attack.mitre.org/software/S0455) has a function that can watch the contents of the system clipboard for valid bitcoin addresses, which it then overwrites with the attacker's address.(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019) ",Metamorfo
 S0455 , Metamorfo ,T1140,"Upon execution, [Metamorfo](https://attack.mitre.org/software/S0455) has unzipped itself after being downloaded to the system and has performed string decryption.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019) ",Metamorfo
 S0455 , Metamorfo ,T1573,,Metamorfo
 S0455 , Metamorfo ,T1573.001,[Metamorfo](https://attack.mitre.org/software/S0455) has encrypted C2 commands with AES-256.(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1573.002,[Metamorfo](https://attack.mitre.org/software/S0455)'s C2 communication has been encrypted using OpenSSL.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1041,[Metamorfo](https://attack.mitre.org/software/S0455) can send the data it collects to the C2 server.(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1083,[Metamorfo](https://attack.mitre.org/software/S0455) has searched the Program Files directories for specific folders and has searched for strings related to its mutexes.(Citation: Medium Metamorfo Apr 2020)(Citation: Fortinet Metamorfo Feb 2020)(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1564,,Metamorfo
 S0455 , Metamorfo ,T1564.003,[Metamorfo](https://attack.mitre.org/software/S0455) has hidden its GUI using the ShowWindow() WINAPI call.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1574,,Metamorfo
 S0455 , Metamorfo ,T1574.002,[Metamorfo](https://attack.mitre.org/software/S0455) has side-loaded its malicious DLL file.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1562,,Metamorfo
 S0455 , Metamorfo ,T1562.001,[Metamorfo](https://attack.mitre.org/software/S0455) has a function to kill processes associated with defenses and can prevent certain processes from launching.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1070,"[Metamorfo](https://attack.mitre.org/software/S0455) has a command to delete a Registry key it uses, \Software\Microsoft\Internet Explorer\notes.(Citation: FireEye Metamorfo Apr 2018)",Metamorfo
 S0455 , Metamorfo ,T1070.004,[Metamorfo](https://attack.mitre.org/software/S0455) has deleted itself from the system after execution.(Citation: Medium Metamorfo Apr 2020)(Citation: Fortinet Metamorfo Feb 2020),Metamorfo
 S0455 , Metamorfo ,T1105,[Metamorfo](https://attack.mitre.org/software/S0455) has used MSI files to download additional files to execute.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1056,,Metamorfo
 S0455 , Metamorfo ,T1056.001,[Metamorfo](https://attack.mitre.org/software/S0455) has a command to launch a keylogger and capture keystrokes on the victim’s machine.(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1056.002,[Metamorfo](https://attack.mitre.org/software/S0455) has displayed fake forms on top of banking sites to intercept credentials from victims.(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1036,,Metamorfo
 S0455 , Metamorfo ,T1036.005,"[Metamorfo](https://attack.mitre.org/software/S0455) has disguised an MSI file as the Adobe Acrobat Reader Installer and has masqueraded payloads as OneDrive, WhatsApp, or Spotify, for example.(Citation: Medium Metamorfo Apr 2020)(Citation: ESET Casbaneiro Oct 2019) ",Metamorfo
 S0455 , Metamorfo ,T1112,"[Metamorfo](https://attack.mitre.org/software/S0455) has written process names to the Registry, disabled IE browser features, deleted Registry keys, and changed the ExtendedUIHoverTime key.(Citation: Medium Metamorfo Apr 2020)(Citation: Fortinet Metamorfo Feb 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019)",Metamorfo
 S0455 , Metamorfo ,T1106,[Metamorfo](https://attack.mitre.org/software/S0455) has used native WINAPI calls.(Citation: Medium Metamorfo Apr 2020)(Citation: Fortinet Metamorfo Feb 2020),Metamorfo
 S0455 , Metamorfo ,T1095,[Metamorfo](https://attack.mitre.org/software/S0455) has used raw TCP for C2.(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1571,[Metamorfo](https://attack.mitre.org/software/S0455) has communicated with hosts over raw TCP on port 9999.(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1027,,Metamorfo
 S0455 , Metamorfo ,T1027.002,[Metamorfo](https://attack.mitre.org/software/S0455) has used VMProtect to pack and protect files.(Citation: Fortinet Metamorfo Feb 2020) ,Metamorfo
 S0455 , Metamorfo ,T1027.013,[Metamorfo](https://attack.mitre.org/software/S0455) has encrypted payloads and strings.(Citation: Medium Metamorfo Apr 2020)(Citation: ESET Casbaneiro Oct 2019),Metamorfo
 S0455 , Metamorfo ,T1566,,Metamorfo
 S0455 , Metamorfo ,T1566.001,[Metamorfo](https://attack.mitre.org/software/S0455) has been delivered to victims via emails with malicious HTML attachments.(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1057,[Metamorfo](https://attack.mitre.org/software/S0455) has performed process name checks and has monitored applications.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1055,,Metamorfo
 S0455 , Metamorfo ,T1055.001,[Metamorfo](https://attack.mitre.org/software/S0455) has injected a malicious DLL into the Windows Media Player process (wmplayer.exe).(Citation: Medium Metamorfo Apr 2020),Metamorfo
 S0455 , Metamorfo ,T1113,[Metamorfo](https://attack.mitre.org/software/S0455) can collect screenshots of the victim’s machine.(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1129,[Metamorfo](https://attack.mitre.org/software/S0455) had used AutoIt to load and execute the DLL payload.(Citation: Fortinet Metamorfo Feb 2020) ,Metamorfo
 S0455 , Metamorfo ,T1518,[Metamorfo](https://attack.mitre.org/software/S0455) has searched the compromised system for banking applications.(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019),Metamorfo
 S0455 , Metamorfo ,T1518.001,[Metamorfo](https://attack.mitre.org/software/S0455) collects a list of installed antivirus software from the victim’s system.(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1553,,Metamorfo
 S0455 , Metamorfo ,T1553.002,[Metamorfo](https://attack.mitre.org/software/S0455) has digitally signed executables using AVAST Software certificates.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1218,,Metamorfo
 S0455 , Metamorfo ,T1218.005,[Metamorfo](https://attack.mitre.org/software/S0455) has used mshta.exe to execute a HTA payload.(Citation: FireEye Metamorfo Apr 2018) ,Metamorfo
 S0455 , Metamorfo ,T1218.007,[Metamorfo](https://attack.mitre.org/software/S0455) has used MsiExec.exe to automatically execute files.(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1082,[Metamorfo](https://attack.mitre.org/software/S0455) has collected the hostname and operating system version from the compromised host.(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020)(Citation: ESET Casbaneiro Oct 2019),Metamorfo
 S0455 , Metamorfo ,T1033,[Metamorfo](https://attack.mitre.org/software/S0455) has collected the username from the victim's machine.(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1124,[Metamorfo](https://attack.mitre.org/software/S0455) uses JavaScript to get the system time.(Citation: Medium Metamorfo Apr 2020) ,Metamorfo
 S0455 , Metamorfo ,T1204,,Metamorfo
 S0455 , Metamorfo ,T1204.002,[Metamorfo](https://attack.mitre.org/software/S0455) requires the user to double-click the executable to run the malicious HTA file or to download a malicious installer.(Citation: FireEye Metamorfo Apr 2018)(Citation: ESET Casbaneiro Oct 2019) ,Metamorfo
 S0455 , Metamorfo ,T1497,"[Metamorfo](https://attack.mitre.org/software/S0455) has embedded a ""vmdetect.exe"" executable to identify virtual machines at the beginning of execution.(Citation: Medium Metamorfo Apr 2020) ",Metamorfo
 S0455 , Metamorfo ,T1102,,Metamorfo
 S0455 , Metamorfo ,T1102.001,[Metamorfo](https://attack.mitre.org/software/S0455) has used YouTube to store and hide C&amp;C server domains.(Citation: ESET Casbaneiro Oct 2019),Metamorfo
 S0455 , Metamorfo ,T1102.003,[Metamorfo](https://attack.mitre.org/software/S0455) has downloaded a zip file for execution on the system.(Citation: Medium Metamorfo Apr 2020)(Citation: FireEye Metamorfo Apr 2018)(Citation: Fortinet Metamorfo Feb 2020) ,Metamorfo
 S0688 , Meteor ,T1531,[Meteor](https://attack.mitre.org/software/S0688) has the ability to change the password of local users on compromised hosts and can log off users.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1059,,Meteor
 S0688 , Meteor ,T1059.001,[Meteor](https://attack.mitre.org/software/S0688) can use PowerShell commands to disable the network adapters on a victim machines.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1059.003,"[Meteor](https://attack.mitre.org/software/S0688) can run `set.bat`, `update.bat`, `cache.bat`, `bcd.bat`, `msrun.bat`, and similar scripts.(Citation: Check Point Meteor Aug 2021)",Meteor
 S0688 , Meteor ,T1485,[Meteor](https://attack.mitre.org/software/S0688) can fill a victim's files and directories with zero-bytes in replacement of real content before deleting them.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1491,,Meteor
 S0688 , Meteor ,T1491.001,[Meteor](https://attack.mitre.org/software/S0688) can change both the desktop wallpaper and the lock screen image to a custom image.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1484,,Meteor
 S0688 , Meteor ,T1484.001,[Meteor](https://attack.mitre.org/software/S0688) can use group policy to push a scheduled task from the AD to all network machines.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1564,,Meteor
 S0688 , Meteor ,T1564.003,[Meteor](https://attack.mitre.org/software/S0688) can hide its console window upon execution to decrease its visibility to a victim.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1562,,Meteor
 S0688 , Meteor ,T1562.001,[Meteor](https://attack.mitre.org/software/S0688) can attempt to uninstall Kaspersky Antivirus or remove the Kaspersky license; it can also add all files and folders related to the attack to the Windows Defender exclusion list.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1070,,Meteor
 S0688 , Meteor ,T1070.001,"[Meteor](https://attack.mitre.org/software/S0688) can use [Wevtutil](https://attack.mitre.org/software/S0645) to remove Security, System and Application Event Viewer logs.(Citation: Check Point Meteor Aug 2021)",Meteor
 S0688 , Meteor ,T1070.004,"[Meteor](https://attack.mitre.org/software/S0688) will delete the folder containing malicious scripts if it detects the hostname as `PIS-APP`, `PIS-MOB`, `WSUSPROXY`, or `PIS-DB`.(Citation: Check Point Meteor Aug 2021)",Meteor
 S0688 , Meteor ,T1105,[Meteor](https://attack.mitre.org/software/S0688) has the ability to download additional files for execution on the victim's machine.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1490,[Meteor](https://attack.mitre.org/software/S0688) can use `bcdedit` to delete different boot identifiers on a compromised host; it can also use `vssadmin.exe delete shadows /all /quiet` and `C:\\Windows\\system32\\wbem\\wmic.exe shadowcopy delete`.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1036,,Meteor
 S0688 , Meteor ,T1036.004,[Meteor](https://attack.mitre.org/software/S0688) has been disguised as the Windows Power Efficiency Diagnostics report tool.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1106,[Meteor](https://attack.mitre.org/software/S0688) can use `WinAPI` to remove a victim machine from an Active Directory domain.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1057,"[Meteor](https://attack.mitre.org/software/S0688) can check if a specific process is running, such as Kaspersky's `avp.exe`.(Citation: Check Point Meteor Aug 2021)",Meteor
 S0688 , Meteor ,T1053,,Meteor
 S0688 , Meteor ,T1053.005,[Meteor](https://attack.mitre.org/software/S0688) execution begins from a scheduled task named `Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeAll` and it creates a separate scheduled task called `mstask` to run the wiper only once at 23:55:00.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1489,"[Meteor](https://attack.mitre.org/software/S0688) can disconnect all network adapters on a compromised host using `powershell -Command ""Get-WmiObject -class Win32_NetworkAdapter | ForEach { If ($.NetEnabled) { $.Disable() } }"" &gt; NUL`.(Citation: Check Point Meteor Aug 2021)",Meteor
 S0688 , Meteor ,T1518,,Meteor
 S0688 , Meteor ,T1518.001,[Meteor](https://attack.mitre.org/software/S0688) has the ability to search for Kaspersky Antivirus on a victim's machine.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1082,[Meteor](https://attack.mitre.org/software/S0688) has the ability to discover the hostname of a compromised host.(Citation: Check Point Meteor Aug 2021),Meteor
 S0688 , Meteor ,T1047,[Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point Meteor Aug 2021),Meteor
 S0339 , Micropsia ,T1071,,Micropsia
 S0339 , Micropsia ,T1071.001,[Micropsia](https://attack.mitre.org/software/S0339) uses HTTP and HTTPS for C2 network communications.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1560,,Micropsia
 S0339 , Micropsia ,T1560.001,[Micropsia](https://attack.mitre.org/software/S0339) creates a RAR archive based on collected files on the victim's machine.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1123,[Micropsia](https://attack.mitre.org/software/S0339) can perform microphone recording.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1119,"[Micropsia](https://attack.mitre.org/software/S0339) executes an RAR tool to recursively archive files based on a predefined list of file extensions (*.xls, *.xlsx, *.csv, *.odt, *.doc, *.docx, *.ppt, *.pptx, *.pdf, *.mdb, *.accdb, *.accde, *.txt).(Citation: Radware Micropsia July 2018)",Micropsia
 S0339 , Micropsia ,T1547,,Micropsia
 S0339 , Micropsia ,T1547.009,[Micropsia](https://attack.mitre.org/software/S0339) creates a shortcut to maintain persistence.(Citation: Talos Micropsia June 2017),Micropsia
 S0339 , Micropsia ,T1059,,Micropsia
 S0339 , Micropsia ,T1059.003,[Micropsia](https://attack.mitre.org/software/S0339) creates a command-line shell using cmd.exe.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1083,[Micropsia](https://attack.mitre.org/software/S0339) can perform a recursive directory listing for all volume drives available on the victim's machine and can also fetch specific files by their paths.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1564,,Micropsia
 S0339 , Micropsia ,T1564.001,[Micropsia](https://attack.mitre.org/software/S0339) creates a new hidden directory to store all components' outputs in a dedicated sub-folder for each.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1105,[Micropsia](https://attack.mitre.org/software/S0339) can download and execute an executable from the C2 server.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1056,,Micropsia
 S0339 , Micropsia ,T1056.001,[Micropsia](https://attack.mitre.org/software/S0339) has keylogging capabilities.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1027,,Micropsia
 S0339 , Micropsia ,T1027.013,[Micropsia](https://attack.mitre.org/software/S0339) obfuscates the configuration with a custom Base64 and XOR.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1113,[Micropsia](https://attack.mitre.org/software/S0339) takes screenshots every 90 seconds by calling the Gdi32.BitBlt API.(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1518,,Micropsia
 S0339 , Micropsia ,T1518.001,[Micropsia](https://attack.mitre.org/software/S0339) searches for anti-virus software and firewall products installed on the victim’s machine using WMI.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1082,[Micropsia](https://attack.mitre.org/software/S0339) gathers the hostname and OS version from the victim’s machine.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S0339 , Micropsia ,T1033,[Micropsia](https://attack.mitre.org/software/S0339) collects the username from the victim’s machine.(Citation: Talos Micropsia June 2017),Micropsia
 S0339 , Micropsia ,T1047,[Micropsia](https://attack.mitre.org/software/S0339) searches for anti-virus software and firewall products installed on the victim’s machine using WMI.(Citation: Talos Micropsia June 2017)(Citation: Radware Micropsia July 2018),Micropsia
 S1015 , Milan ,T1087,,Milan
 S1015 , Milan ,T1087.001,[Milan](https://attack.mitre.org/software/S1015) has run `C:\Windows\system32\cmd.exe /c cmd /c dir c:\users\ /s 2&gt;&amp;1` to discover local accounts.(Citation: ClearSky Siamesekitten August 2021),Milan
 S1015 , Milan ,T1071,,Milan
